Dates;Open;Close;High;Low
18/04/2019 15:29:00;3,9354;3,9324;3,9354;3,9324
18/04/2019 15:30:00;3,9324;3,931;3,9325;3,9309
18/04/2019 15:31:00;3,931;3,9313;3,9316;3,9309
18/04/2019 15:32:00;3,9313;3,9319;3,932;3,9313
18/04/2019 15:33:00;3,9319;3,9324;3,9326;3,9315
18/04/2019 15:34:00;3,9324;3,9331;3,9332;3,9324
18/04/2019 15:35:00;3,9334;3,9331;3,9339;3,9328
18/04/2019 15:36:00;3,9331;3,9316;3,9333;3,9314
18/04/2019 15:37:00;3,9316;3,9309;3,932;3,9306
18/04/2019 15:38:00;3,9309;3,9298;3,9311;3,9293
18/04/2019 15:39:00;3,9298;3,9263;3,9299;3,9261
18/04/2019 15:40:00;3,9263;3,9222;3,9263;3,9222
18/04/2019 15:41:00;3,9222;3,9156;3,9222;3,9072
18/04/2019 15:42:00;3,9156;3,9162;3,9162;3,9148
18/04/2019 15:43:00;3,9162;3,9119;3,9162;3,9118
18/04/2019 15:44:00;3,9119;3,9092;3,9129;3,9087
18/04/2019 15:45:00;3,9092;3,9083;3,9104;3,9064
18/04/2019 15:46:00;3,9083;3,9084;3,9093;3,9079
18/04/2019 15:47:00;3,9084;3,9096;3,9097;3,9084
18/04/2019 15:48:00;3,9096;3,9096;3,911;3,9095
18/04/2019 15:49:00;3,9096;3,9107;3,9111;3,9095
18/04/2019 15:50:00;3,9107;3,9169;3,9174;3,9107
18/04/2019 15:51:00;3,917;3,9178;3,9188;3,9169
18/04/2019 15:52:00;3,9178;3,9167;3,9178;3,915
18/04/2019 15:53:00;3,9163;3,9207;3,9211;3,9162
18/04/2019 15:54:00;3,9207;3,9199;3,9214;3,9199
18/04/2019 15:55:00;3,9199;3,9188;3,9201;3,9178
18/04/2019 15:56:00;3,9188;3,9192;3,9195;3,9181
18/04/2019 15:57:00;3,9192;3,9198;3,9203;3,9191
18/04/2019 15:58:00;3,9198;3,918;3,9198;3,918
18/04/2019 15:59:00;3,918;3,9179;3,9186;3,9176
18/04/2019 16:00:00;3,9179;3,9208;3,9208;3,9179
18/04/2019 16:01:00;3,9208;3,9207;3,9208;3,9201
18/04/2019 16:02:00;3,9208;3,9204;3,9211;3,9204
18/04/2019 16:03:00;3,9204;3,9204;3,9207;3,9201
18/04/2019 16:04:00;3,9204;3,9233;3,9254;3,9204
18/04/2019 16:05:00;3,9233;3,923;3,9241;3,923
18/04/2019 16:06:00;3,923;3,9251;3,9251;3,923
18/04/2019 16:07:00;3,9251;3,9239;3,9254;3,9239
18/04/2019 16:08:00;3,9239;3,9236;3,924;3,9235
18/04/2019 16:09:00;3,9236;3,9234;3,9237;3,9234
18/04/2019 16:10:00;3,9234;3,9254;3,9255;3,9232
18/04/2019 16:11:00;3,9254;3,9265;3,9265;3,9254
18/04/2019 16:12:00;3,9262;3,9276;3,9278;3,9262
18/04/2019 16:13:00;3,9276;3,9271;3,9278;3,9268
18/04/2019 16:14:00;3,9271;3,9287;3,929;3,9262
18/04/2019 16:15:00;3,9287;3,9284;3,9288;3,9279
18/04/2019 16:16:00;3,9284;3,9285;3,9288;3,9283
18/04/2019 16:17:00;3,9285;3,9271;3,9285;3,9268
18/04/2019 16:18:00;3,9271;3,9263;3,9274;3,9262
18/04/2019 16:19:00;3,9263;3,9276;3,9276;3,9263
18/04/2019 16:20:00;3,9279;3,9272;3,9283;3,927
18/04/2019 16:21:00;3,9272;3,9267;3,9276;3,9267
18/04/2019 16:22:00;3,9267;3,926;3,9269;3,9258
18/04/2019 16:23:00;3,926;3,9267;3,9278;3,926
